premise_version,sector,model,mapped_variable_count,source_file,counting_rule
2.4.6,Cement,image,45,cement.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Cement,message,26,cement.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Cement,remind,4,cement.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Cement,remind-eu,4,cement.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Cement,tiam-ucl,7,cement.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Cement,gcam,12,cement.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Steel,image,117,steel.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Steel,message,14,steel.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Steel,remind,42,steel.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Steel,remind-eu,42,steel.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Steel,tiam-ucl,112,steel.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Steel,gcam,19,steel.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Passenger cars,image,10,transport_passenger_cars.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Passenger cars,message,0,transport_passenger_cars.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Passenger cars,remind,60,transport_passenger_cars.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Passenger cars,remind-eu,60,transport_passenger_cars.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Passenger cars,tiam-ucl,29,transport_passenger_cars.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Passenger cars,gcam,30,transport_passenger_cars.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Road freight,image,38,transport_road_freight.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Road freight,message,0,transport_road_freight.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Road freight,remind,40,transport_road_freight.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Road freight,remind-eu,40,transport_road_freight.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Road freight,tiam-ucl,90,transport_road_freight.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Road freight,gcam,27,transport_road_freight.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Heat,image,38,heat.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Heat,message,30,heat.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Heat,remind,24,heat.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Heat,remind-eu,24,heat.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Heat,tiam-ucl,2,heat.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Heat,gcam,15,heat.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Carbon removal,image,5,carbon_dioxide_removal.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Carbon removal,message,7,carbon_dioxide_removal.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Carbon removal,remind,11,carbon_dioxide_removal.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Carbon removal,remind-eu,11,carbon_dioxide_removal.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Carbon removal,tiam-ucl,3,carbon_dioxide_removal.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Carbon removal,gcam,4,carbon_dioxide_removal.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Biomass,image,4,biomass.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Biomass,message,3,biomass.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Biomass,remind,2,biomass.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Biomass,remind-eu,2,biomass.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Biomass,tiam-ucl,2,biomass.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
2.4.6,Biomass,gcam,2,biomass.yaml,"Distinct strings under model-specific alias dictionaries; includes IAM activity, efficiency and energy-use aliases."
